종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"466400","1Q 25-08 회사채(A+이상)액티브","107950","5","0.00","107947.85","107950","107950","107940","3032","327290459","116262150000","0","1077000","KIS 2025-08만기형 크레딧 A+이상 지수(총수익)","122.06","0.00","0.00"
"491610","1Q CD금리액티브(합성)","101580","5","0.00","101599.54","101575","101580","101575","2660","270197272","318859620000","0","3139000","KIS 하나 CD금리 총수익지수","11408.47","0.00","0.00"
"451060","1Q K200액티브","11170","190","1.73","11234.16","11035","11210","11035","12571","140553287","113934000000","0","10200000","코스피 200","348.19","7.39","2.17"
"463290","1Q 단기금융채액티브","106790","10","0.01","106790.78","106785","106795","106785","17588","1878218435","242306510000","0","2269000","MK 머니마켓 지수(총수익)","14191.19","1.14","0.01"
"479080","1Q 머니마켓액티브","51915","5","0.01","51910.76","51910","51915","51910","177853","9233195954","448130280000","0","8632000","KIS-하나 MMF 지수(총수익)","115.98","0.00","0.00"
"0004G0","1Q 미국배당30","9470","-30","-0.32","9533.43","9525","9525","9460","2851","27020812","6629000000","0","700000","Solactive U.S. Dividend 30 Index PR","4272.07","0.00","0.00"
"0017Y0","1Q 종합채권(AA-이상)액티브","100640","130","0.13","100580.04","100550","100650","100545","520","52300355","22140800000","0","220000","KIS 종합채권형 지수(AA-이상)(총수익)","126.16","0.00","0.00"
"472350","1Q 차이나H(H)","16225","100","0.62","16217.13","16195","16285","16165","166","2693015","19470000000","0","1200000","Hang Seng China H","8946.99","69.00","0.78"
"495330","1Q 코리아밸류업","10195","195","1.95","10224.80","10175","10195","10170","62","631880","24468000000","0","2400000","코리아 밸류업 지수","1039.47","20.53","2.01"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","50805","-20","-0.04","50813.12","50820","50820","50805","39","1981410","135750960000","0","2672000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11619.91","-1.44","-0.01"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10555","0","0.00","10556.77","10555","10560","10550","1837","19394073","163074750000","0","15450000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","118.80","0.00","0.00"
"105190","ACE 200","35610","685","1.96","35722.09","35190","35665","35190","63856","2270525941","445125000000","0","12500000","코스피 200","348.19","7.39","2.17"
"332500","ACE 200TR","23020","465","2.06","23050.45","22675","23045","22675","17317","396432001","41436000000","0","1800000","코스피 200 TR","450.92","9.60","2.18"
"461260","ACE 25-06 회사채(AA-이상)액티브","10810","0","0.00","10819.20","10810","10820","10810","3808","41185675","97830500000","0","9050000","KIS 크레딧 2506만기형(AA-이상)지수(총수익지수)","121.90","0.00","0.00"
"461270","ACE 26-06 회사채(AA-이상)액티브","10985","0","0.00","10981.48","10980","10985","10980","8713","95683460","212340050000","0","19330000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","121.19","0.00","0.00"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10445","-5","-0.05","10450.45","10445","10455","10445","1031","10773950","44600150000","0","4270000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","117.83","0.00","0.00"
"385600","ACE 2차전지&친환경차액티브","6990","-60","-0.85","7015.78","7100","7100","6975","22888","160865670","12582000000","0","1800000","FnGuide 친환경 자동차 밸류체인 지수","1151.24","-1.85","-0.16"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10445","0","0.00","10446.88","10445","10447","10445","129","1347425","45644650000","0","4370000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","116.79","0.00","0.00"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10440","0","0.00","10451.19","10440","10455","10440","92","961506","69217200000","0","6630000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","118.44","0.00","0.00"
"469150","ACE AI반도체포커스","13810","300","2.22","13801.22","13595","13915","13595","363012","5015441729","49716000000","0","3600000","FnGuide AI 반도체 포커스 지수(시장가격)","1714.22","39.84","2.38"
"487340","ACE CD금리&초단기채권액티브","102615","5","0.00","102620.09","102605","102625","102605","21425","2198509589","277163115000","0","2701000","MK-KAP CD 금리 & 초단기 채권 총수익 지수","116.45","0.00","0.00"
"385590","ACE ESG액티브","7790","115","1.50","7818.71","7735","7815","7735","835","6464280","18696000000","0","2400000","MSCI Korea Country ESG Leaders Custom Capped Price return Index","1530.36","26.08","1.73"
"0010E0","ACE FTSE WGBI Korea","101215","90","0.09","101146.28","101160","101215","101020","226","22842525","20243000000","0","200000","FTSE Korean Government Bond Index(TR)","211.24","0.00","0.00"
"380340","ACE Fn5G플러스","9315","60","0.65","9318.29","9380","9380","9295","293","2735410","5589000000","0","600000","FnGuide 5G플러스 지수 (시장가격)","1851.30","11.48","0.62"
"226380","ACE Fn성장소비주도주","5965","45","0.76","5972.99","5950","5965","5935","5555","33066275","5368500000","0","900000","FnGuide 성장소비주도 지수","1962.88","7.46","0.38"
"475050","ACE KPOP포커스","9750","160","1.67","9744.19","9590","9840","9460","624249","6032688156","90187500000","0","9250000","iSelect K-POP 포커스지수(시장가격)","2433.41","39.99","1.67"
"411060","ACE KRX금현물","19900","-110","-0.55","19771.67","20175","20180","19825","1031350","20592979419","1074600000000","0","54000000","KRX 금현물지수","3292.54","-13.62","-0.41"
"0021D0","ACE TDF2030액티브","9900","20","0.20","9931.86","9910","9930","9900","102610","1016530271","9900000000","0","1000000","Bloomberg Multi Asset Target-date 2030 KRW Index","2495.07","0.00","0.00"
"0021E0","ACE TDF2050액티브","9855","35","0.36","9883.91","9845","9875","9835","112289","1106556498","9855000000","0","1000000","Bloomberg Multi Asset Target-date 2050 KRW Index","2869.83","0.00","0.00"
"225130","ACE 골드선물 레버리지(합성 H)","30160","65","0.22","30186.09","30155","30215","30095","2560","77219700","9048000000","0","300000","S&P GSCI GOLD Index Excess Return","189.93","-0.22","-0.12"
"483340","ACE 구글밸류체인액티브","9490","175","1.88","9526.68","9590","9590","9360","519547","4924233465","24199500000","0","2550000","KEDI 글로벌 AI 클라우드 지수","4117.23","0.00","0.00"
"365780","ACE 국고채10년","90900","60","0.07","90846.50","90770","90900","90665","6744","611987623","350328600000","0","3854000","KIS 10년 국고채 지수 (총수익)","16699.32","11.54","0.07"
"114460","ACE 국고채3년","103610","10","0.01","103593.67","103600","103610","103542","147","15223987","18649800000","0","180000","KTB INDEX(시장가격)","10444.79","-2.20","-0.02"
"494340","ACE 글로벌AI맞춤형반도체","9630","140","1.48","9647.88","9630","9655","9540","20695","199018150","14445000000","0","1500000","Solactive AI Custom Semiconductor Index(PR)","4489.57","0.00","0.00"
"411050","ACE 글로벌메타버스테크액티브","13260","310","2.39","13238.13","12950","13375","12950","384","5093340","18564000000","0","1400000","Bloomberg Global Digital Media & Tech Select Price Return Index","4862.02","-3.58","-0.07"
"446770","ACE 글로벌반도체TOP4 Plus SOLACTIVE","24865","205","0.83","25011.68","25020","25100","24785","34900","868582801","326974750000","0","13150000","Solactive Global Semiconductor TOP4 Plus Price Return Index","4432.27","111.97","2.59"
"435040","ACE 글로벌브랜드TOP10블룸버그","16155","10","0.06","16270.39","16130","16255","16130","941","15248887","12924000000","0","800000","Bloomberg Global Select Industry Leaders TOP10 Index(PR)","3989.16","0.00","0.00"
"497510","ACE 글로벌빅파마","11090","-35","-0.31","11153.40","11125","11125","11070","394","4372375","8872000000","0","800000","Solactive Global Big Pharma Index (Price Return)","1850.41","0.00","0.00"
"460960","ACE 글로벌인컴TOP10 SOLACTIVE","11180","70","0.63","11176.22","11125","11200","11125","57167","638493822","58695000000","0","5250000","Solactive Global Superior Income TOP 10 Price Return Index","762.96","0.00","0.00"
"414270","ACE 글로벌자율주행액티브","10775","150","1.41","10773.61","10645","10790","10645","304242","3270794383","52258750000","0","4850000","FactSet US-China Electric&Autonomous Vehicle Price Return Index","255.57","-0.52","-0.20"
"440640","ACE 단기채권알파액티브","109710","10","0.01","109703.15","109700","109715","109690","2011","220611530","56171520000","0","512000","KIS 단기채권알파AA-이상 총수익지수","119.25","0.00","0.00"
"190620","ACE 단기통안채","100970","-5","0.00","100972.23","100955","100985","100955","5786","584185499","97133140000","0","962000","KIS MSB 단기지수(총수익)","12727.16","0.99","0.01"
"494330","ACE 라이프자산주주가치액티브","10820","185","1.74","10830.66","10685","10820","10685","38470","413793605","22722000000","0","2100000","FnGuide 기업가치 지수(시장가격)","1592.00","17.62","1.12"
"265690","ACE 러시아MSCI(합성)","8535","0","0.00","48.48","0","0","0","0","0","15789750000","0","1850000","MSCI Russia 25% Capped Price Return Index",,,
"152500","ACE 레버리지","6695","255","3.96","6708.71","6555","6725","6555","23770","157915850","8703500000","0","1300000","코스피 200","348.19","7.39","2.17"
"483330","ACE 마이크로소프트밸류체인액티브","11005","240","2.23","11102.99","10975","11045","10975","711628","7851117649","28613000000","0","2600000","KEDI 글로벌생성형AI 지수","3678.26","0.00","0.00"
"291130","ACE 멕시코MSCI(합성)","13225","180","1.38","13350.70","13245","13290","13200","1743","23092279","11902500000","0","900000","MSCI MEXICO IMI 25/50 Price return Index","10752.00","0.00","0.00"
"452250","ACE 미국30년국채선물레버리지(합성 H)","5940","15","0.25","5937.62","5960","5960","5915","88134","522273610","84348000000","0","14200000","S&P Ultra T-Bond Futures Index(ER)","113.69","0.09","0.08"
"476760","ACE 미국30년국채액티브","10335","-35","-0.34","10307.24","10370","10375","10285","134805","1391731547","96115500000","0","9300000","Bloomberg U.S Treasury 20+ Year Total Return Index","586.75","0.00","0.00"
"453850","ACE 미국30년국채액티브(H)","8045","0","0.00","8031.93","8070","8070","8030","1885112","15158684091","1983092500000","0","246500000","Bloomberg U.S Treasury 20+ Year Total Return Index","586.75","0.00","0.00"
"476750","ACE 미국30년국채엔화노출액티브(H)","9635","-60","-0.62","9635.96","9685","9710","9595","127220","1226900155","105021500000","0","10900000","Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged","114.57","0.00","0.00"
"480030","ACE 미국500데일리타겟커버드콜(합성)","10140","-30","-0.29","10223.55","10190","10200","10130","92510","939812158","148044000000","0","14600000","Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index","1047.24","0.00","0.00"
"280320","ACE 미국IT인터넷S&P(합성 H)","17805","190","1.08","17984.53","18445","18445","17805","2151","38348058","14244000000","0","800000","다우존스 인터넷 종합지수","1041.02","0.00","0.00"
"360200","ACE 미국S&P500","20385","90","0.44","20540.43","20455","20465","20375","1250146","25523060571","1889689500000","0","92700000","S&P 500","5638.94","0.00","0.00"
"438080","ACE 미국S&P500채권혼합액티브","12870","-35","-0.27","12864.81","12915","12915","12845","235836","3038494654","335907000000","0","26100000","S&P500 and Short-Term Treasury 30/70 Blend Index","186.77","0.00","0.00"
"309230","ACE 미국WideMoat동일가중","26130","-65","-0.25","26192.46","26300","27430","26105","21181","553994031","140056800000","0","5360000","MorningStar Wide Moat Focus Index","13582.74","0.00","0.00"
"367380","ACE 미국나스닥100","21635","100","0.46","21810.99","21720","21730","21620","680562","14750398342","1343533500000","0","62100000","NASDAQ 100","19704.64","0.00","0.00"
"438100","ACE 미국나스닥100채권혼합액티브","13325","-25","-0.19","13315.57","13375","13380","13295","84568","1127956462","202540000000","0","15200000","NASDAQ-100 US T-Bills 30/70 Index","1724.88","0.00","0.00"
