date,temperatures,precipitation,wind_speed,insolation
2018-04-01,15.6,,1.5,7.25
2018-04-02,18.4,,1.9,14.14
2018-04-03,17.8,0.1,2.1,6.88
2018-04-04,13.4,18.5,1.9,19.56
2018-04-05,7.6,10.5,2,2.15
2018-04-06,5.8,6.5,3.1,11.19
2018-04-07,4.2,0.2,4.1,18.24
2018-04-08,3.9,3,1.8,7.93
2018-04-09,7.9,,1.1,21.52
2018-04-10,15.1,5,3.5,17.52
2018-04-11,12.6,,3,24.86
2018-04-12,13.3,,2.6,24.56
2018-04-13,14.6,,1.3,12.68
2018-04-14,9,9,1.8,3.49
2018-04-15,9.5,,2.4,17.29
2018-04-16,11.6,,1.6,24.79
2018-04-17,12.9,,1.9,24.03
2018-04-18,12.4,,1.9,25.09
2018-04-19,14,,1.9,22.36
2018-04-20,18.4,,1.3,22.68
2018-04-21,18.7,,1.9,26.14
2018-04-22,15.5,15.5,1.1,5.09
2018-04-23,9.3,59,2.2,2.59
2018-04-24,12.1,3,1.4,10.14
2018-04-25,14.6,,1.5,24.97
2018-04-26,14.9,,2.1,21.87
2018-04-27,15.7,,1.7,22.9
2018-04-28,15.4,,2,26.04
2018-04-29,16.2,,1.9,24.5
2018-04-30,19.2,,1.6,20.74
